ID;ProvincialeTaakvelden;RegioS;Perioden;Baten_1;Lasten_2;Saldo_3;Baten_4;Lasten_5;Saldo_6
0;Totaal provinciale taakvelden;Nederland;2017;7673.4;7673.4;0.0;449;449;0
1;Totaal provinciale taakvelden;Nederland;2018;7197.2;7197.2;0.0;419;419;0
2;Totaal provinciale taakvelden;Nederland;2019;8270.0;8270.0;0.0;479;479;0
3;Totaal provinciale taakvelden;Nederland;2020;8283.6;8283.6;0.0;476;476;0
4;Totaal provinciale taakvelden;Nederland;2021;7979.5;7979.4;0.0;457;457;0
5;Totaal provinciale taakvelden;Nederland;2022;7642.7;7642.7;0.0;434;434;0
6;Totaal provinciale taakvelden;Nederland;2023;8106.8;8106.8;0.0;455;455;0
7;Totaal provinciale taakvelden;Nederland;2024;8769.8;8769.8;0.0;489;489;0
8;Totaal provinciale taakvelden;Nederland;2025;8982.0;8982.0;0.0;498;498;0
9;Totaal provinciale taakvelden;Noord-Nederland (LD);2017;1071.2;1071.2;0.0;622;622;0
10;Totaal provinciale taakvelden;Noord-Nederland (LD);2018;1178.6;1178.6;0.0;684;684;0
11;Totaal provinciale taakvelden;Noord-Nederland (LD);2019;1245.4;1245.4;0.0;722;722;0
12;Totaal provinciale taakvelden;Noord-Nederland (LD);2020;1279.1;1279.1;0.0;740;740;0
13;Totaal provinciale taakvelden;Noord-Nederland (LD);2021;1167.1;1167.1;0.0;673;673;0
14;Totaal provinciale taakvelden;Noord-Nederland (LD);2022;1305.3;1305.4;0.0;749;749;0
15;Totaal provinciale taakvelden;Noord-Nederland (LD);2023;1437.3;1437.3;0.0;817;817;0
16;Totaal provinciale taakvelden;Noord-Nederland (LD);2024;1448.5;1448.4;0.0;819;819;0
17;Totaal provinciale taakvelden;Noord-Nederland (LD);2025;1674.0;1674.0;0.0;943;943;0
18;Totaal provinciale taakvelden;Oost-Nederland (LD);2017;2594.9;2594.9;0.0;720;720;0
19;Totaal provinciale taakvelden;Oost-Nederland (LD);2018;2003.9;2003.9;0.0;553;553;0
20;Totaal provinciale taakvelden;Oost-Nederland (LD);2019;2433.4;2433.4;0.0;668;668;0
21;Totaal provinciale taakvelden;Oost-Nederland (LD);2020;2807.2;2807.2;0.0;765;765;0
22;Totaal provinciale taakvelden;Oost-Nederland (LD);2021;2589.3;2589.3;0.0;701;701;0
23;Totaal provinciale taakvelden;Oost-Nederland (LD);2022;2066.6;2066.6;0.0;556;556;0
24;Totaal provinciale taakvelden;Oost-Nederland (LD);2023;2090.6;2090.6;0.0;556;556;0
25;Totaal provinciale taakvelden;Oost-Nederland (LD);2024;2257.4;2257.4;0.0;596;596;0
26;Totaal provinciale taakvelden;Oost-Nederland (LD);2025;2264.2;2264.2;0.0;594;594;0
27;Totaal provinciale taakvelden;West-Nederland (LD);2017;2182.4;2182.4;0.0;269;269;0
28;Totaal provinciale taakvelden;West-Nederland (LD);2018;2176.6;2176.6;0.0;266;266;0
29;Totaal provinciale taakvelden;West-Nederland (LD);2019;2899.5;2899.5;0.0;351;351;0
30;Totaal provinciale taakvelden;West-Nederland (LD);2020;2507.6;2507.6;0.0;301;301;0
31;Totaal provinciale taakvelden;West-Nederland (LD);2021;2553.9;2553.9;0.0;305;305;0
32;Totaal provinciale taakvelden;West-Nederland (LD);2022;2618.9;2618.9;0.0;311;311;0
33;Totaal provinciale taakvelden;West-Nederland (LD);2023;2823.1;2823.1;0.0;331;331;0
34;Totaal provinciale taakvelden;West-Nederland (LD);2024;2948.8;2948.8;0.0;342;342;0
35;Totaal provinciale taakvelden;West-Nederland (LD);2025;2988.5;2988.5;0.0;345;345;0
36;Totaal provinciale taakvelden;Zuid-Nederland (LD);2017;1824.9;1824.9;0.0;503;503;0
37;Totaal provinciale taakvelden;Zuid-Nederland (LD);2018;1838.0;1838.0;0.0;504;504;0
38;Totaal provinciale taakvelden;Zuid-Nederland (LD);2019;1691.8;1691.8;0.0;462;462;0
39;Totaal provinciale taakvelden;Zuid-Nederland (LD);2020;1689.6;1689.6;0.0;459;459;0
40;Totaal provinciale taakvelden;Zuid-Nederland (LD);2021;1669.1;1669.1;0.0;452;452;0
41;Totaal provinciale taakvelden;Zuid-Nederland (LD);2022;1651.8;1651.8;0.0;445;445;0
42;Totaal provinciale taakvelden;Zuid-Nederland (LD);2023;1755.9;1755.9;0.0;468;468;0
43;Totaal provinciale taakvelden;Zuid-Nederland (LD);2024;2115.2;2115.2;0.0;560;560;0
44;Totaal provinciale taakvelden;Zuid-Nederland (LD);2025;2055.3;2055.3;0.0;541;541;0
45;Totaal provinciale taakvelden;Groningen (PV);2017;319.7;319.7;0.0;548;548;0
46;Totaal provinciale taakvelden;Groningen (PV);2018;405.6;405.6;0.0;696;696;0
47;Totaal provinciale taakvelden;Groningen (PV);2019;424.7;424.7;0.0;727;727;0
48;Totaal provinciale taakvelden;Groningen (PV);2020;440.7;440.7;0.0;752;752;0
49;Totaal provinciale taakvelden;Groningen (PV);2021;369.3;369.3;0.0;629;629;0
50;Totaal provinciale taakvelden;Groningen (PV);2022;488.6;488.6;0.0;828;828;0
51;Totaal provinciale taakvelden;Groningen (PV);2023;560.5;560.5;0.0;940;940;0
52;Totaal provinciale taakvelden;Groningen (PV);2024;545.2;545.2;0.0;906;906;0
53;Totaal provinciale taakvelden;Groningen (PV);2025;652.5;652.5;0.0;1081;1081;0
54;Totaal provinciale taakvelden;Fryslân (PV);2017;480.7;480.7;0.0;743;743;0
55;Totaal provinciale taakvelden;Fryslân (PV);2018;493.3;493.3;0.0;762;762;0
56;Totaal provinciale taakvelden;Fryslân (PV);2019;473.0;473.0;0.0;730;730;0
57;Totaal provinciale taakvelden;Fryslân (PV);2020;459.8;459.8;0.0;707;707;0
58;Totaal provinciale taakvelden;Fryslân (PV);2021;458.4;458.4;0.0;704;704;0
59;Totaal provinciale taakvelden;Fryslân (PV);2022;463.3;463.3;0.0;708;708;0
60;Totaal provinciale taakvelden;Fryslân (PV);2023;482.4;482.4;0.0;731;731;0
61;Totaal provinciale taakvelden;Fryslân (PV);2024;527.4;527.4;0.0;797;797;0
62;Totaal provinciale taakvelden;Fryslân (PV);2025;566.8;566.8;0.0;853;853;0
63;Totaal provinciale taakvelden;Drenthe (PV);2017;270.8;270.8;0.0;551;551;0
64;Totaal provinciale taakvelden;Drenthe (PV);2018;279.7;279.7;0.0;568;568;0
65;Totaal provinciale taakvelden;Drenthe (PV);2019;347.8;347.8;0.0;707;707;0
66;Totaal provinciale taakvelden;Drenthe (PV);2020;378.6;378.6;0.0;767;767;0
67;Totaal provinciale taakvelden;Drenthe (PV);2021;339.5;339.5;0.0;686;686;0
68;Totaal provinciale taakvelden;Drenthe (PV);2022;353.4;353.4;0.0;710;710;0
69;Totaal provinciale taakvelden;Drenthe (PV);2023;394.4;394.4;0.0;785;785;0
70;Totaal provinciale taakvelden;Drenthe (PV);2024;375.8;375.8;0.0;745;745;0
71;Totaal provinciale taakvelden;Drenthe (PV);2025;454.7;454.7;0.0;898;898;0
72;Totaal provinciale taakvelden;Overijssel (PV);2017;829.2;829.2;0.0;723;723;0
73;Totaal provinciale taakvelden;Overijssel (PV);2018;605.4;605.4;0.0;526;526;0
74;Totaal provinciale taakvelden;Overijssel (PV);2019;708.0;708.0;0.0;612;612;0
75;Totaal provinciale taakvelden;Overijssel (PV);2020;1060.8;1060.8;0.0;913;913;0
76;Totaal provinciale taakvelden;Overijssel (PV);2021;640.4;640.4;0.0;549;549;0
77;Totaal provinciale taakvelden;Overijssel (PV);2022;589.5;589.5;0.0;503;503;0
78;Totaal provinciale taakvelden;Overijssel (PV);2023;594.3;594.3;0.0;502;502;0
79;Totaal provinciale taakvelden;Overijssel (PV);2024;783.0;783.0;0.0;658;658;0
80;Totaal provinciale taakvelden;Overijssel (PV);2025;688.1;688.1;0.0;575;575;0
81;Totaal provinciale taakvelden;Flevoland (PV);2017;221.0;221.0;0.0;542;542;0
82;Totaal provinciale taakvelden;Flevoland (PV);2018;204.0;204.0;0.0;495;495;0
83;Totaal provinciale taakvelden;Flevoland (PV);2019;280.5;280.5;0.0;673;673;0
84;Totaal provinciale taakvelden;Flevoland (PV);2020;282.1;282.1;0.0;667;667;0
85;Totaal provinciale taakvelden;Flevoland (PV);2021;275.2;275.2;0.0;643;643;0
86;Totaal provinciale taakvelden;Flevoland (PV);2022;230.4;230.4;0.0;530;530;0
87;Totaal provinciale taakvelden;Flevoland (PV);2023;275.3;275.3;0.0;619;619;0
88;Totaal provinciale taakvelden;Flevoland (PV);2024;267.8;267.8;0.0;594;594;0
89;Totaal provinciale taakvelden;Flevoland (PV);2025;276.3;276.3;0.0;606;606;0
90;Totaal provinciale taakvelden;Gelderland (PV);2017;1544.7;1544.7;0.0;754;754;0
