ID;Geslacht;Leeftijd;Perioden;Autochtonen_1;Allochtonen_2;k_1eGeneratie_3;Totaal2eGeneratie_4;k_2eGeneratieMet1AllochtoneOuder_5;k_2eGeneratieMet2AllochtoneOuders_6;NietWesterseAllochtonen_7;WesterseAllochtonen_8
0;Mannen en vrouwen;Totaal over alle leeftijden;2009;13200102;3281207;1658608;1622597;934803;687803;1802767;1478440
1;Mannen en vrouwen;Totaal over alle leeftijden;2010;13206989;3329435;1679839;1649598;945345;704252;1833277;1496154
2;Mannen en vrouwen;Totaal over alle leeftijden;2011;13211226;3374204;1696742;1677464;956544;720920;1862377;1511825
3;Mannen en vrouwen;Totaal over alle leeftijden;2012;13214440;3419245;1713225;1706023;968127;737902;1893046;1526200
4;Mannen en vrouwen;Totaal over alle leeftijden;2013;13218313;3463744;1730122;1733613;979358;754254;1924278;1539467
5;Mannen en vrouwen;Totaal over alle leeftijden;2014;13221901;3508932;1747733;1761200;990812;770387;1956836;1552093
6;Mannen en vrouwen;Totaal over alle leeftijden;2015;13224564;3554714;1766203;1788510;1002359;786148;1990474;1564235
7;Mannen en vrouwen;Totaal over alle leeftijden;2016;13226400;3601212;1785766;1815444;1013874;801577;2024734;1576476
8;Mannen en vrouwen;Totaal over alle leeftijden;2017;13227161;3648404;1806392;1842013;1025337;816672;2059320;1589081
9;Mannen en vrouwen;Totaal over alle leeftijden;2018;13226640;3695958;1827743;1868227;1036762;831461;2094104;1601849
10;Mannen en vrouwen;Totaal over alle leeftijden;2019;13225000;3743693;1849608;1894087;1048108;845976;2128936;1614752
11;Mannen en vrouwen;Totaal over alle leeftijden;2020;13222465;3791341;1871689;1919660;1059401;860258;2163639;1627714
12;Mannen en vrouwen;Totaal over alle leeftijden;2021;13219391;3838601;1893660;1944937;1070598;874341;2197932;1640675
13;Mannen en vrouwen;Totaal over alle leeftijden;2022;13215640;3885299;1915327;1969975;1081731;888242;2231699;1653604
14;Mannen en vrouwen;Totaal over alle leeftijden;2023;13211172;3931461;1936682;1994775;1092791;901980;2264968;1666492
15;Mannen en vrouwen;Totaal over alle leeftijden;2024;13205772;3977021;1957711;2019309;1103773;915532;2297713;1679306
